sample-id	Assay Type	Bases	BioProject	BioSample	Bytes	Center Name	Experiment	geo_loc_name_country	geo_loc_name_country_continent	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	create_date	Sample Name	SRA Study	history_of_host_infection	disease_stage	PH
#q2:types	categorical	numeric	categorical	categorical	numeric	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
SRR14161072	AMPLICON	22223000	PRJNA719953	SAMN18629611	13961906	University of Glasglow	SRX10529638	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS040B	SRP313751	RVVC	Disease	N/A
SRR14161073	AMPLICON	44121000	PRJNA719953	SAMN18629610	24161032	University of Glasglow	SRX10529637	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS039B	SRP313751	RVVC	Disease	N/A
SRR14161074	AMPLICON	26693500	PRJNA719953	SAMN18629609	15139275	University of Glasglow	SRX10529636	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:16	SVS038B	SRP313751	RVVC	Disease	N/A
SRR14161075	AMPLICON	108028000	PRJNA719953	SAMN18629608	57153469	University of Glasglow	SRX10529635	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS037B	SRP313751	RVVC	Disease	N/A
SRR14161076	AMPLICON	32500	PRJNA719953	SAMN18629607	100614	University of Glasglow	SRX10529634	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:16	SVS036B	SRP313751	RVVC	Disease	N/A
SRR14161077	AMPLICON	68372000	PRJNA719953	SAMN18629606	36482142	University of Glasglow	SRX10529633	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS035B	SRP313751	RVVC	Disease	N/A
SRR14161078	AMPLICON	71500	PRJNA719953	SAMN18629605	122449	University of Glasglow	SRX10529632	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:16	SVS034B	SRP313751	RVVC	Disease	N/A
SRR14161080	AMPLICON	14500	PRJNA719953	SAMN18629604	87869	University of Glasglow	SRX10529630	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:16	SVS033B	SRP313751	RVVC	Disease	N/A
SRR14161081	AMPLICON	46502000	PRJNA719953	SAMN18629603	29859884	University of Glasglow	SRX10529629	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS032B	SRP313751	RVVC	Disease	N/A
SRR14161082	AMPLICON	22069000	PRJNA719953	SAMN18629602	11968508	University of Glasglow	SRX10529628	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS031B	SRP313751	RVVC	Disease	N/A
SRR14161083	AMPLICON	14919500	PRJNA719953	SAMN18629601	8068680	University of Glasglow	SRX10529627	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS030B	SRP313751	RVVC	Disease	N/A
SRR14161084	AMPLICON	24801000	PRJNA719953	SAMN18629600	14034250	University of Glasglow	SRX10529626	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS029B	SRP313751	RVVC	Disease	N/A
SRR14161085	AMPLICON	21462000	PRJNA719953	SAMN18629599	12177919	University of Glasglow	SRX10529625	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS028B	SRP313751	RVVC	Disease	N/A
SRR14161086	AMPLICON	22874000	PRJNA719953	SAMN18629598	12651110	University of Glasglow	SRX10529624	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS027B	SRP313751	RVVC	Disease	N/A
SRR14161087	AMPLICON	26987500	PRJNA719953	SAMN18629597	15994396	University of Glasglow	SRX10529623	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS026B	SRP313751	RVVC	Disease	N/A
SRR14161088	AMPLICON	20245500	PRJNA719953	SAMN18629596	11480137	University of Glasglow	SRX10529622	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS025B	SRP313751	RVVC	Disease	N/A
SRR14161089	AMPLICON	45188000	PRJNA719953	SAMN18629595	29401423	University of Glasglow	SRX10529621	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS024B	SRP313751	RVVC	Disease	N/A
SRR14161091	AMPLICON	39958000	PRJNA719953	SAMN18629594	21882629	University of Glasglow	SRX10529619	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS023B	SRP313751	RVVC	Disease	N/A
SRR14161092	AMPLICON	50252500	PRJNA719953	SAMN18629593	27666149	University of Glasglow	SRX10529618	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS022B	SRP313751	RVVC	Disease	N/A
SRR14161093	AMPLICON	36178000	PRJNA719953	SAMN18629592	23389708	University of Glasglow	SRX10529617	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS021B	SRP313751	RVVC	Disease	N/A
SRR14161094	AMPLICON	69150000	PRJNA719953	SAMN18629591	38345649	University of Glasglow	SRX10529616	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS020B	SRP313751	RVVC	Disease	N/A
SRR14161095	AMPLICON	35202000	PRJNA719953	SAMN18629590	22580164	University of Glasglow	SRX10529615	Scotland	Europe	PAIRED	PCR	METAGENOMIC	Homo sapiens	ILLUMINA	7/22/21 20:00	4/7/21 1:17	SVS019B	SRP313751	RVVC	Disease	N/A
